symbol,setup,entry_date,exit_date,entry,exit_avg,qty,pnl,R,bars,exit_reason,regime
INDUSTOWER,S4,2026-01-05,2026-01-06,439.85,429.91,625,-6211.0,-1.06,1,stop,AMBER
KOTAKBANK,S2,2026-01-01,2026-01-07,442.55,425.11,377,-6576.0,-0.84,4,stop,AMBER
NATIONALUM,S4,2026-01-08,2026-01-09,342.42,324.73,908,-16061.0,-2.96,1,stop,AMBER
COALINDIA,S4,2026-01-08,2026-01-20,426.55,409.32,348,-5996.0,-1.03,7,stop,AMBER
PNB,S4,2026-01-19,2026-01-20,132.47,126.6,2042,-11974.0,-1.03,1,stop,AMBER
INDUSTOWER,S2,2026-01-16,2026-01-21,438.95,409.49,536,-15791.0,-1.02,3,stop,AMBER
PAYTM,S3,2026-01-16,2026-01-21,1314.94,1246.44,86,-5891.0,-1.02,3,stop,AMBER
COALINDIA,S2,2026-01-23,2026-02-02,418.99,409.71,721,-6689.0,-1.06,5,stop,AMBER
PNB,S2,2026-01-29,2026-02-02,124.96,120.85,2014,-8272.0,-1.07,2,stop,AMBER
ONGC,S4,2026-01-30,2026-02-02,267.93,245.51,408,-9147.0,-1.55,1,stop,AMBER
TECHM,S4,2026-01-20,2026-02-04,1717.14,1638.3,75,-5913.0,-1.03,10,stop,AMBER
INDUSTOWER,S2,2026-01-23,2026-02-04,419.72,444.54,720,17870.0,2.55,7,structure break,AMBER
VEDL,S2,2025-09-26,2026-03-13,455.23,676.29,252,55707.0,7.28,113,stop,RED
